
Settings

NBA 25-26

Past 1 Week
Ease for Selected Position 
PF
vs Team	Value	pV	3V	rV	aV	sV	bV	fg%V	toV
vs ATL	0.53	0.85	0.21	1.72	0.53	1.06	0.17	-0.14	0.38
vs NOR	0.43	0.16	0.05	1.17	1.09	-0.24	1.83	-0.22	0.05
vs MIL	0.36	1.50	1.52	-0.01	0.20	0.11	-0.65	0.71	-0.12
vs LAL	0.30	0.67	1.64	-1.07	0.71	0.38	-1.27	2.39	0.93
vs POR	0.27	0.13	-0.83	0.08	0.41	3.03	1.83	-1.24	-0.96
vs ORL	0.08	0.75	0.02	-0.60	-1.74	0.31	0.92	1.78	0.94
vs BKN	-0.05	-0.37	-1.17	-0.22	0.13	0.14	0.50	0.83	-0.23
vs CHA	-0.11	0.14	0.24	-1.31	0.51	-0.43	-1.72	1.21	0.42
vs MIA	-0.14	-0.59	-0.69	1.04	0.05	0.14	0.99	-0.57	-1.59
vs TOR	-0.15	-0.17	-0.01	-0.29	-0.79	-0.38	0.18	0.80	-0.68
vs GSW	-0.19	-0.57	-0.42	0.93	0.17	0.61	-0.74	-0.17	-1.45
vs BOS	-0.19	0.49	1.58	-1.25	-1.10	-2.30	-0.33	0.52	0.71
vs OKC	-0.21	0.31	1.54	0.86	-0.48	-0.97	-0.59	-0.76	-1.74
vs HOU	-0.21	-0.98	-0.50	-2.27	-0.83	0.37	-1.23	-0.45	0.55
vs DET	-0.21	-0.39	0.18	-0.75	-0.69	0.07	2.13	-0.69	-1.73
vs CLE	-0.23	-0.10	-0.42	0.83	0.26	-0.76	-0.34	-0.93	-0.55
vs MIN	-0.24	-0.36	-0.30	-0.11	-0.92	0.23	-0.97	0.88	-0.54
vs SAC	-0.25	0.15	-0.62	0.04	0.38	-0.12	0.18	-0.40	0.00
vs SAS	-0.30	-2.10	-0.87	-0.73	0.04	-0.51	-0.73	-1.04	0.39
vs LAC	-0.39	-1.28	-1.35	-1.21	-0.91	0.49	-0.05	-0.37	1.23
