
Settings

NBA 25-26

Past 1 Week
Ease for Selected Position 
SG
vs Team	Value	pV	3V	rV	aV	sV	bV	fg%V	toV
vs MEM	0.40	0.50	1.22	0.54	0.00	0.68	1.10	0.19	0.66
vs IND	0.26	0.26	-0.82	2.42	0.42	-0.33	0.20	0.16	0.06
vs MIL	0.23	0.53	1.36	0.07	-0.80	0.29	-1.11	0.86	0.85
vs NYK	0.17	0.21	0.28	-0.36	-1.54	-0.37	-0.16	0.03	0.87
vs ATL	0.17	1.42	1.51	-0.74	-0.50	0.75	-0.95	1.03	-0.95
vs CHI	0.11	-0.33	-0.46	-0.30	-0.32	0.99	0.16	-0.07	1.30
vs BKN	0.10	0.28	0.17	-0.99	1.11	1.07	-0.63	0.69	-0.76
vs SAC	0.06	-0.19	-0.30	1.04	0.96	-1.00	-0.01	-0.43	0.52
vs PHO	0.05	0.62	0.07	0.58	0.27	-0.14	-0.25	0.65	-1.30
vs LAL	0.03	1.25	0.69	-0.90	0.18	-0.50	-1.84	1.62	-0.23
vs TOR	0.03	0.03	-0.38	-0.14	-0.13	0.18	2.60	-0.56	-1.34
vs POR	0.01	0.01	-0.56	-0.16	1.53	1.73	-0.36	-0.55	-1.55
vs CLE	-0.03	0.52	0.30	-1.68	0.63	0.69	-0.69	0.48	-0.47
vs LAC	-0.04	-0.01	0.45	-0.65	-0.67	-0.10	-0.54	0.70	0.51
vs DEN	-0.04	0.20	0.39	-0.81	-0.27	-0.73	-0.01	0.17	0.72
vs PHI	-0.21	-0.41	-0.88	-0.13	1.06	-0.99	-0.82	-0.17	0.47
vs HOU	-0.26	-1.96	-0.87	-0.65	-1.25	0.98	0.96	-0.77	1.19
vs GSW	-0.34	-0.89	-1.06	0.17	0.42	-0.09	-0.50	-0.14	-0.99
vs SAS	-0.39	-0.51	-0.06	0.20	-0.65	-1.60	-0.53	-0.32	0.02
vs BOS	-0.43	-0.65	0.84	-0.33	-0.17	-2.92	-0.75	-0.35	0.47
vs OKC	-0.50	-0.78	0.30	0.02	-1.29	-0.87	0.73	-0.53	-2.06
vs ORL	-0.55	-0.92	-1.51	-0.31	-0.72	-1.09	0.54	0.13	-1.04
vs CHA	-0.72	-1.78	-2.02	-0.58	-0.97	0.26	-1.29	-1.39	1.32
vs MIN	-0.83	-1.89	-1.29	-0.97	0.21	-0.98	-0.76	-2.15	0.41
vs DET	-1.13	-0.65	-1.37	-1.29	-2.15	1.04	0.93	-1.62	-1.40

Settings

NBA 25-26

Past 1 Week
Ease for Selected Position 
SF
vs Team	Value	pV	3V	rV	aV	sV	bV	fg%V	toV
vs MIL	0.88	1.79	2.18	1.13	1.01	1.09	0.10	1.52	0.25
vs POR	0.87	1.52	1.90	0.51	0.45	1.99	0.22	1.17	0.06
vs BKN	0.69	0.66	0.47	0.71	0.34	0.48	1.80	0.81	0.93
vs WAS	0.62	0.05	0.73	0.38	0.50	1.27	-0.11	-0.45	0.90
vs MEM	0.57	0.67	-0.19	0.86	1.14	0.98	1.74	-0.56	0.44
vs DAL	0.40	0.28	0.68	0.06	1.44	0.01	-0.62	1.38	-1.50
vs LAL	0.24	0.80	0.37	-0.78	0.65	0.59	-1.15	0.90	0.75
vs UTA	0.19	0.11	0.10	-0.62	0.38	0.55	0.69	0.23	0.19
vs OKC	0.14	0.97	1.55	-1.50	0.85	-0.19	0.24	1.11	-1.82
vs BOS	0.13	-0.81	-0.25	0.07	-0.01	1.41	-0.45	0.29	0.85
vs CLE	0.11	0.97	1.18	-0.25	-0.20	-0.41	-0.68	0.26	0.08
vs NOR	0.09	0.71	0.45	0.38	-0.27	-0.90	-0.72	0.45	0.71
vs TOR	0.09	1.18	0.41	-1.06	0.21	-0.50	0.80	0.27	-0.55
vs GSW	0.05	-0.49	-0.20	-0.01	-0.45	0.25	0.28	-0.33	-0.68
vs MIN	0.04	0.40	0.73	-1.50	-0.29	0.31	-0.28	1.47	-0.56
vs MIA	0.02	0.88	0.39	0.45	-0.80	1.07	-1.37	0.81	-0.27
vs ORL	0.02	-2.21	-0.85	-0.19	1.54	-1.29	2.59	0.13	0.41
vs NYK	-0.10	-0.49	-0.59	2.32	0.62	-1.03	0.11	-0.12	0.06
vs SAS	-0.16	-0.37	0.11	-1.04	-0.68	-0.02	0.38	0.14	-0.01
vs ATL	-0.17	-0.20	-0.23	-0.09	0.57	-0.85	0.51	-0.24	-1.08
vs HOU	-0.18	0.51	0.19	-0.71	-0.39	-0.42	-1.23	-0.35	0.74
vs LAC	-0.18	-0.74	-0.76	-0.35	0.15	-0.09	0.10	-0.43	0.45
vs DEN	-0.21	-0.28	-0.26	0.23	-1.13	-0.29	0.17	-0.15	-0.27
vs PHO	-0.38	-1.68	-1.26	-0.16	0.82	-0.62	-0.38	-1.63	1.47
vs CHI	-0.47	-1.27	-1.80	0.50	-0.20	-0.05	-0.04	-1.52	0.09
vs CHA	-0.54	0.92	0.21	-2.19	-1.28	-2.58	-1.87	0.09	1.81
vs IND	-0.54	-0.24	-1.21	1.90	-1.90	0.48	0.35	-0.98	0.02
vs SAC	-0.61	-1.11	-1.25	-0.75	-0.51	-1.34	-0.07	-1.11	0.59
vs PHI	-0.63	-1.63	-1.96	1.61	0.62	-1.19	0.80	-3.03	-0.93
vs DET	-0.96	-0.92	-0.85	0.10	-3.17	1.29	-1.87	-0.12	-3.12

Settings

NBA 25-26

Past 2 Weeks
Ease for Selected Position 
SF
vs Team	Value	pV	3V	rV	aV	sV	bV	fg%V	toV
vs POR	1.21	1.27	1.34	0.29	0.41	1.91	0.21	0.65	-0.49
vs BKN	0.78	1.05	0.64	1.36	0.21	0.87	1.68	0.69	0.67
vs MEM	0.75	1.83	1.35	0.46	0.85	0.70	1.16	0.72	-0.14
vs DAL	0.66	0.69	1.03	-0.12	2.30	0.65	0.81	1.41	-0.66
